Words,Part,Meaning,Date,Link
interminable,adj.,没完没了的,9月27日,81-100.txt
paltry,adj.,微小的,9月27日,81-100.txt
chivalrous,adj.,骑士的,9月27日,81-100.txt
consummate,adj.&v.,完美的；完成,9月27日,81-100.txt
confound,v.,使混乱；挫败,9月27日,101-120.txt
giddy,adj.,头晕的,9月27日,101-120.txt
secluded,adj.,隔绝的,9月27日,101-120.txt
pernicious,adj.,有害的.致命的,9月27日,101-120.txt
extant,adj.,现存的.显著的,9月27日,101-120.txt
deplorable,adj.,悲惨的,9月27日,101-120.txt
austere,adj.,严峻的,9月27日,101-120.txt
tout,v.,销售；吹捧,9月27日,101-120.txt
auspicious,adj.,幸运的；吉兆的,9月27日,101-120.txt
pallid,adj.,苍白的；病态的,9月27日,101-120.txt
sentinel,v.&n.,哨兵；守卫,9月27日,101-120.txt
wistful,adj.,渴望的,9月27日,101-120.txt
comely,adj.,美丽的,9月27日,101-120.txt
despotic,adj.,专横的；专政的；,9月28日,101-120.txt
conflagration,n.,建筑物大火,9月28日,101-120.txt
parable,n.,寓言,9月28日,101-120.txt
genteel,adj.,有教养的,9月28日,101-120.txt
fictitious,adj.,虚构的,9月28日,101-120.txt
implacable,adj.,难以满足的,9月28日,101-120.txt
levity,n.,轻浮；,9月28日,101-120.txt
convert,adj.,隐蔽的,9月28日,121-140.txt
sequel,n.,续集；结局；,9月28日,121-140.txt
apprehensive,adj.,忧虑的；知晓的,9月28日,121-140.txt
stalwart,n.&adj.,强壮的（人）,9月28日,121-140.txt
ascetic,adj.,禁欲的,9月28日,121-140.txt
uncouth,adj.,笨拙的；不舒适的,9月28日,121-140.txt
lamentable,adj.,可悲的,9月28日,121-140.txt
penitent,adj.,后悔的,9月28日,121-140.txt
boisterous,adj.,喧闹的,9月28日,121-140.txt
reproof,n.,斥责；责备,9月28日,121-140.txt
inexorable,adj.,不为所动的,9月28日,121-140.txt
palpable,adj.,明显的,9月28日,121-140.txt
impotent,adj.,无力的,9月28日,121-140.txt
salutary,adj.,有益的,9月28日,121-140.txt
rabble,n.,下层社会,9月28日,121-140.txt
sate,v.,使心满意足,9月28日,121-140.txt
rapt,adj.,全神贯注的；狂喜的,9月29日,121-140.txt
chaff,n.,谷物皮,9月29日,121-140.txt
oration,n.,演说；致辞,9月29日,121-140.txt
coronation,n.,加冕,9月29日,121-140.txt
furtive,adj.,偷偷的,9月29日,141-160.txt
languor,n.,身心疲惫,9月29日,141-160.txt
atone,v.,赎罪；补偿,9月29日,141-160.txt
fraught,adj.,担心的,9月29日,141-160.txt
shroud,n.,寿衣；覆盖物,9月29日,141-160.txt
decorum,n.,礼貌.礼节,9月29日,141-160.txt
retinure,n.,侍从,9月29日,141-160.txt
surly,adj.,乖戾的,9月29日,141-160.txt
jovial,adj.,天性快活的,9月29日,141-160.txt
apathy,n.,冷漠,9月29日,141-160.txt
fervor,n.,感情,9月29日,141-160.txt
balm,n.,香油,9月29日,141-160.txt
clamor,n.,喧闹,9月29日,141-160.txt
gall,n.,粗鲁；无礼,9月29日,141-160.txt
stratagem,adj.,谋略,9月29日,141-160.txt
vindictive,adj.,报复性的；惩罚的,9月29日,141-160.txt
droll,adj.,滑稽的,9月29日,141-160.txt
prodigal,adj.,挥霍的,9月29日,141-160.txt
peremptory,adj.,专横的,9月29日,141-160.txt
antipathy,n.,反感；厌恶,9月30日,141-160.txt
carnal,adj.,肉体的；肉欲的,9月30日,161-180.txt
exodus,n.,大批离去,9月30日,161-180.txt
repugnant,adj.,令人厌恶的,9月30日,161-180.txt
sonnet,n.,十四行诗,9月30日,161-180.txt
prosaic,adj.,平凡的,9月30日,161-180.txt
spat,n.,口角,9月30日,161-180.txt
ethereal,adj.,太空的,9月30日,161-180.txt
sprightly,adj.,活泼的,9月30日,161-180.txt
ineffable,adj.,不可言说的,9月30日,161-180.txt
impostor,n.,骗子,9月30日,161-180.txt
lithe,adj.,轻盈的；柔软的,9月30日,161-180.txt
rend,v.,撕碎；分裂,9月30日,161-180.txt
wayward,adj.,任性的；不规则的,9月30日,161-180.txt
hoary,adj.,年纪高的；灰白的,9月30日,161-180.txt
exalt,v.,提升；表扬,9月30日,161-180.txt
wily,adj.,狡猾的,9月30日,161-180.txt
surmise,v.,猜测,9月30日,161-180.txt
sterile,adj.,无细菌的；贫瘠的,9月30日,161-180.txt
stupor,n.,恍惚；昏迷,9月30日,161-180.txt
conjure,v.,变魔术；使想起,9月30日,161-180.txt
inter,v.,埋葬；在内,9月30日,181-200.txt
retribution,n.,报应；惩罚,9月30日,181-200.txt
lurid,adj.,耸人听闻的,9月30日,181-200.txt
recoil,v.,畏缩.弹回.报应,10月4日,181-200.txt
impassive,adj.,冷漠的,10月4日,181-200.txt
blight,n&v,使枯萎,10月4日,181-200.txt
propitious,adj.,适合的,10月4日,181-200.txt
thwart,v.,阻碍,10月4日,181-200.txt
burlesque,adj.,滑稽的,10月4日,181-200.txt
solicitious,adj.,热心期望的,10月4日,181-200.txt
cipher,n.,密码,10月4日,181-200.txt
unavailing,adj.,无效的,10月4日,181-200.txt
profligate,adj.,放荡的；恣意挥霍的,10月4日,181-200.txt
crook,n.,骗子；弯,10月4日,181-200.txt
candor,n.,坦白,10月4日,181-200.txt
infirm,adj.,衰弱的,10月4日,181-200.txt
voluptuous,adj.,撩人的,10月4日,181-200.txt
occult,adj.,神秘的；神秘,10月4日,181-200.txt
tempestuous,adj.,有暴风雨的,10月4日,181-200.txt
corporeal,adj.,物质的；肉体的,10月4日,181-200.txt
transitory,adj.,暂时的,10月4日,201-220.txt
squalid,adj.,污秽的,10月4日,201-220.txt
succor,n&v,救援(者）,10月4日,201-220.txt
stolid,adj.,无动于衷的,10月4日,201-220.txt
restitution,n.,归还.赔偿,10月4日,201-220.txt
desultory,adj.,散漫的,10月4日,201-220.txt
inducement,n.,诱因.刺激物,10月4日,201-220.txt
voluminous,adj.,大量的.长篇的,10月4日,201-220.txt
dandy,n.&adj.,花花公子；服装华丽的,10月6日,201-220.txt
affable,adj.,易于交谈的,10月6日,201-220.txt
patrician,n.&adj.,贵族（的）,10月6日,201-220.txt
guile,n.,狡猾.诡计,10月6日,201-220.txt
dissolute,adj.,无节制的,10月6日,201-220.txt
brevity,n.,简短,10月6日,201-220.txt
verdant,adj.,翠绿的,10月6日,201-220.txt
depravity,n.,堕落,10月6日,201-220.txt
avowal,n.,声明,10月6日,201-220.txt
cleave,v.,劈开.分裂,10月6日,201-220.txt
portentous,adj.,不祥的,10月6日,201-220.txt
plebeian,adj.,平民的,10月6日,201-220.txt
grimace,adj.,做鬼脸,10月6日,221-240.txt
florid,v.,红润的,10月6日,221-240.txt
hoard,v.,贮藏,10月6日,221-240.txt
spleen,n.,脾,10月6日,221-240.txt
staunch,adj.,坚定的,10月6日,221-240.txt
sling,n.,吊索,10月6日,221-240.txt
extricate,v.,拯救,10月6日,221-240.txt
unruly,adj.,不守规矩的,10月6日,221-240.txt
harangur,n.&v.,长篇大论,10月6日,221-240.txt
dupe,n.&v.,欺骗；受骗者,10月6日,221-240.txt
allay,v.,减轻；缓和,10月6日,221-240.txt
sacrilege,n.,亵渎,10月6日,221-240.txt
blemish,n.&v.,损害；瑕疵,10月6日,221-240.txt
scowl,n.,愁容,10月11日,221-240.txt
invoke,v.,祈求,10月11日,221-240.txt
fawn,n.,小鹿,10月11日,221-240.txt
refractory,adj.,难熔的；不听话的,10月11日,221-240.txt
conciliate,v.,调和,10月11日,221-240.txt
paraxysm,n&adj,突发；发作性的,10月11日,221-240.txt
abhor,v.,憎恨,10月11日,221-240.txt
dexterous,adj.,灵巧的,10月11日,241-260.txt
variegated,n&adj,斑驳的,10月11日,241-260.txt
blithe,adj.,愉快的,10月11日,241-260.txt
limpid,adj.,清澈的,10月11日,241-260.txt
specious,adj.,华而不实的,10月11日,241-260.txt
spurious,adj.,假的,10月11日,241-260.txt
perfidy,n.,背叛,10月11日,241-260.txt
covetous,adj.,贪心的,10月11日,241-260.txt
puny,adj.,微小的,10月11日,241-260.txt
callous,adj.,无情的,10月11日,241-260.txt
bewitching,adj.,迷人的,10月11日,241-260.txt
bane,n.,祸根,10月11日,241-260.txt
rivulet,n.,小河,10月11日,241-260.txt
stockade,n.,栅栏,10月11日,241-260.txt
convulsion,n.,惊厥；动乱,10月11日,241-260.txt
rectitude,n.,公正.正直,10月18日,241-260.txt
acquiesce,v&a,默许（的）,10月18日,241-260.txt
incarnate,adj.,化身的,10月18日,241-260.txt
belligerent,adj.,交战的,10月18日,241-260.txt
relapse,n.,复发,10月18日,241-260.txt
snarl,v&a,吼叫,10月18日,261-280.txt
concord,n.,和睦,10月18日,261-280.txt
immmutable,adj.,永恒的,10月18日,261-280.txt
scurvy,n&a,坏血病；卑鄙的,10月18日,261-280.txt
morose,adj.,脾气坏的,10月18日,261-280.txt
methodical,adj.,有方法的,10月18日,261-280.txt
obeisance,n.,鞠躬.尊敬,10月18日,261-280.txt
plumb,v.,铅锤测量,10月18日,261-280.txt
arable,adj.,可种植的,10月18日,261-280.txt
dissuade,v.,劝阻,10月18日,261-280.txt
elude,v.,逃避,10月18日,261-280.txt
travail,n&v,分娩的痛苦,10月18日,261-280.txt
compunction,n.,懊悔,10月18日,261-280.txt
assiduous,adj.,勤勉的,10月18日,261-280.txt
loath,v.,憎恨,10月18日,261-280.txt
condescending,adj.,贬低的,10月18日,261-280.txt
vivacious,adj.,活泼的,10月18日,261-280.txt
somber,adj.,忧郁的,10月18日,261-280.txt
medley,adj.,混合的,10月18日,261-280.txt
canvass,v.,游说,10月18日,261-280.txt
warp,n&v,歪曲.使变形,10月27日,281-300.txt
threadbare,adj.,衣衫褴褛的,10月27日,281-300.txt
jot,n&v,草草记录.最少量,10月27日,281-300.txt
leaven,n&v,发酵,10月27日,281-300.txt
gratuitous,adj.,无根据的,10月27日,281-300.txt
stealth,n.,秘密,10月27日,281-300.txt
lank,adj.,瘦削的,10月27日,281-300.txt
hovel,n.,茅舍,10月27日,281-300.txt
timorous,adj.,胆怯地,10月27日,281-300.txt
knack,n.,诀窍,10月27日,281-300.txt
dais,n.,主席台,10月27日,281-300.txt
drab,adj.,枯黄的.单调的,10月27日,281-300.txt
ostentatious,adj.,浮华的,10月27日,281-300.txt
jaded,adj.,疲倦的,10月27日,281-300.txt
ignominy,n.,耻辱,10月27日,281-300.txt
trepidation,n.,恐惧,10月27日,281-300.txt
enigma,n.,迷,10月27日,281-300.txt
menial,adj.,仆人的,10月27日,281-300.txt
masquerade,n.,化妆舞会；,10月27日,281-300.txt
hale,adj.,矍铄的,10月27日,281-300.txt
feign,v.,假装,10月27日,301-320.txt
flit,n&v,轻快的飞行,10月27日,301-320.txt
taciturn,adj.,沉默寡言的,10月27日,301-320.txt
obsequious,adj.,谄媚的,10月27日,301-320.txt
duplicity,n.,口是心非,11月21日,301-320.txt
prologue,n.,序幕,11月21日,301-320.txt
awning,n.,遮阳棚,11月21日,301-320.txt
rife,adj.,普遍的,11月21日,301-320.txt
attest,v.,证明,11月21日,301-320.txt
ravenous,adj.,贪婪的,11月21日,301-320.txt
efface,v.,抹去.擦掉,11月21日,301-320.txt
lurch,n.,倾斜,11月21日,301-320.txt
simpleton,n.,傻子,11月21日,301-320.txt
babble,v.,喋喋不休,11月21日,301-320.txt
wrest,n.&v.,拧,11月21日,301-320.txt
untoward,adj.,困难的出乎意料的,11月21日,301-320.txt
renegade,n.&v.,背叛（者）,11月21日,301-320.txt
effrontery,n.,厚颜无耻,11月21日,301-320.txt
obdurate,adj.,固执的,11月21日,301-320.txt
chide,v.,指责,11月21日,301-320.txt
mettle,n.,勇气,11月21日,321-340.txt
stench,n.&v.,臭气,11月21日,321-340.txt
sedate,adj.,沉着的,11月21日,321-340.txt
figurative,adj.,比喻的.修饰丰富的,11月21日,321-340.txt
opportune,adj.,适当的,11月21日,321-340.txt
facetious,adj.,滑稽的,11月21日,321-340.txt
piquant,adj.,辛辣的,11月21日,321-340.txt
languish,v.,凋萎,11月21日,321-340.txt
invective,adj.,谩骂的,11月22日,321-340.txt
hallucination,n.,幻想,11月22日,321-340.txt
probity,n.,正直,11月22日,321-340.txt
fallow,adj.,休耕的；休闲的,11月22日,321-340.txt
quell,v.,镇压,11月22日,321-340.txt
petulant,adj.,性急的；易怒的,11月22日,321-340.txt
bravado,n.,逞能,11月22日,321-340.txt
turbid,adj.,浑浊的,11月22日,321-340.txt
rave,n.,狂欢,11月22日,321-340.txt
heretical,adj.,异端的,11月22日,321-340.txt
ruse,n.,诡计,11月22日,321-340.txt
incorrigible,adj.,积习难改的,11月22日,321-340.txt
overbearing,adj.,傲慢的,11月22日,341-360.txt
schism,n.,分裂,11月22日,341-360.txt
talisman,n.,护身符,11月22日,341-360.txt
baleful,adj.,邪恶的,11月22日,341-360.txt
evince,n.,表明,11月22日,341-360.txt
reprove,v.,责骂,11月22日,341-360.txt
odium,n.,憎恶,11月22日,341-360.txt
sepulchral,adj.,阴森的,11月22日,341-360.txt
awry,adj.,扭曲的,11月22日,341-360.txt
banter,n.,取笑,11月22日,341-360.txt
murky,adj.,黑暗的；朦胧的,11月22日,341-360.txt
temerity,n.,大胆；鲁莽,11月22日,341-360.txt
dearth,n.,缺乏,11月22日,341-360.txt
swagger,n.&v.,大摇大摆,11月23日,341-360.txt
rapacious,adj.,贪婪的,11月23日,341-360.txt
inflame,v.,使燃烧；激怒,11月23日,341-360.txt
impervious,adj.,不能渗透的,11月23日,341-360.txt
inkling,n.,轻微暗示,11月23日,341-360.txt
heinous,adj.,可憎的,11月23日,341-360.txt
entice,v.,怂恿.引诱,11月23日,341-360.txt
wry,adj.,歪斜的,11月23日,361-380.txt
supercilious,adj.,目中无人的,11月23日,361-380.txt
parody,n.&v.,拙劣模仿,11月23日,361-380.txt
distraught,adj.,发狂的,11月23日,361-380.txt
acrid,adj.,辛辣的,11月23日,361-380.txt
stinct,n.,节约；固定时间,11月23日,361-380.txt
unkempt,adj.,不整洁的,11月23日,361-380.txt
slant,n.,倾斜,11月23日,361-380.txt
circuitous,adj.,迂回的,11月23日,361-380.txt
whiff,n.,一吸,11月23日,361-380.txt
coquette,n.,调情的女子,11月23日,361-380.txt
querulous,adj.,抱怨的；挑剔的,11月23日,361-380.txt
anomalous,adj.,反常的,11月23日,361-380.txt
bale,adj.,大包裹；不幸,11月23日,361-380.txt
voluble,n.,健谈的；缠绕的,11月23日,361-380.txt
reprobate,adj.&n.,邪恶的,11月23日,361-380.txt
inimical,adj.,敌意的,11月24日,361-380.txt
untenable,adj.,防守不住的,11月24日,361-380.txt
malevolent,adj.,恶毒的,11月24日,361-380.txt
virulent,adj.,剧毒的,11月24日,361-380.txt
pun,n.,双关,11月24日,381-400.txt
reactionary,adj.,保守的,11月24日,381-400.txt
dissemble,v.,掩饰,11月24日,381-400.txt
torpid,adj.,懒散的,11月24日,381-400.txt
repudiate,v.,拒绝；否定,11月24日,381-400.txt
hew,v.,砍伐；坚持,11月24日,381-400.txt
redoubtable,adj.,可敬畏的；可怕的,11月24日,381-400.txt
replete,adj.,充满的,11月24日,381-400.txt
vouch,n.&v.,担保；证明,11月24日,381-400.txt
diffident,adj.,羞怯的；,11月24日,381-400.txt
enamel,n.&v.,珐琅,11月24日,381-400.txt
soliloquy,n.,自言自语,11月24日,381-400.txt
felony,v.,重罪,11月24日,381-400.txt
nip,v.,咬,11月24日,381-400.txt
peruse,v.,精度,11月24日,381-400.txt
panegyric,n.,颂词,11月24日,381-400.txt
defray,v.,支出,11月24日,381-400.txt
craven,adj.,懦弱的,11月24日,381-400.txt
perfunctory,adj.,草率的,11月24日,381-400.txt
taut,adj.,拉紧的,11月24日,381-400.txt
sanctify,v.,使神圣化,11月24日,401-420.txt
trite,adj.,陈腐的；老一套的,11月25日,401-420.txt
clandestine,adj.,秘密的,11月25日,401-420.txt
scion,n.,接穗；子孙,11月25日,401-420.txt
garrulous,adj.,唠叨的,11月25日,401-420.txt
invidious,adj.,惹人反感的,11月25日,401-420.txt
jaunty,adj.,愉快的,11月25日,401-420.txt
incite,v.,刺激；煽动,11月25日,401-420.txt
rebuff,n.,回绝,11月25日,401-420.txt
fallacious,adj.,谬误的,11月25日,401-420.txt
contrite,adj.,悔罪的,11月25日,401-420.txt
puerile,adj.,幼稚的,11月25日,401-420.txt
potentate,n.,统治者,11月25日,401-420.txt
disaffected,adj.,不满的,11月25日,401-420.txt
abetance,n.,中止,11月25日,401-420.txt
gainsay,v.,否认,11月25日,401-420.txt
propitiate,v.,讨好,11月25日,401-420.txt
restive,adj.,不耐烦的；焦躁不安的,11月25日,401-420.txt
inferno,n.,火海,11月25日,401-420.txt
coy,adj.,腼腆的,11月25日,401-420.txt
penury,n.,贫穷,11月25日,421-440.txt
didactic,adj.,说教的,11月25日,421-440.txt
lassitude,n.,困倦,11月25日,421-440.txt
leer,v.,斜视,11月25日,421-440.txt
shirk,v.,逃避,11月25日,421-440.txt
foreword,n.,前言,11月25日,421-440.txt
obviate,v.,排除.避免,11月26日,421-440.txt
plush,adj.,长毛绒的；豪华的,11月26日,421-440.txt
pittance,v.,微薄的收入,11月26日,421-440.txt
subterfuge,n.,借口；诡计,11月26日,421-440.txt
spurn,v.,摒弃,11月26日,421-440.txt
parity,n.,同等,11月26日,421-440.txt
libertine,n.,放荡的人,11月26日,421-440.txt
dirge,n.,哀悼歌,11月26日,421-440.txt
proffer,v.,提供；赠送,11月26日,421-440.txt
drone,n.,无人机；雄蜂,11月26日,421-440.txt
snub,n.&v.,冷落；断然拒绝,11月26日,421-440.txt
tawdry,adj.,俗丽的,11月26日,421-440.txt
espouse,v.,支持,11月26日,421-440.txt
knotty,adj.,棘手的；有结的,11月26日,421-440.txt
upbraid,v.,斥责,11月26日,441-460.txt
retrograde,v.&adj.,倒退,11月26日,441-460.txt
preternatural,adj.,超自然的,11月26日,441-460.txt
waft,n.&v.,飘荡,11月26日,441-460.txt
gash,n.&v.,裂缝；划伤,11月26日,441-460.txt
tractable,adj.,易于管教的,11月26日,441-460.txt
presage,n.&v.,预感,11月26日,441-460.txt
gild,n.&v.,镀金,11月26日,441-460.txt
disinclination,n.,不感兴趣,11月26日,441-460.txt
obtuse,adj.,迟钝的,11月26日,441-460.txt
punctilious,adj.,一丝不苟的,11月27日,441-460.txt
flinch,v.&n.,畏缩；退缩,11月27日,441-460.txt
torrid,adj.,酷热的,11月27日,441-460.txt
irascible,adj.,易怒的,11月27日,441-460.txt
miscreant,n.,恶棍,11月27日,441-460.txt
repine,v.,不满,11月27日,441-460.txt
splinter,v.&n.,碎片,11月27日,441-460.txt
wince,v.&n.,畏缩；退缩,11月27日,441-460.txt
admonish,v.,训诫,11月27日,441-460.txt
noisome,adj.,恶臭的,11月27日,441-460.txt
expiate,v.,赎罪,11月27日,461-480.txt
assuage,v.&n.,缓解,11月27日,461-480.txt
cursory,adj.,匆忙的；草率的,11月27日,461-480.txt
venal,adj.,口感好的,11月27日,461-480.txt
circumspect,adj.,慎重的,11月27日,461-480.txt
comensurate,adj.,相应的,11月27日,461-480.txt
dank,adj.,潮湿的,11月27日,461-480.txt
salve,v.&n.,药膏,11月27日,461-480.txt
malign,adj.&v.,邪恶的；诽谤,11月27日,461-480.txt
reconnoiter,v.,侦察,11月27日,461-480.txt
apocryphal,adj.,假的,11月27日,461-480.txt
divulge,v.,泄漏,11月27日,461-480.txt
windbag,n.,能说话的人,11月27日,461-480.txt
hauteur,n.,傲慢,11月28日,461-480.txt
lullaby,v.&n.,催眠（曲）,11月28日,461-480.txt
disprove,v.,反驳,11月28日,461-480.txt
gossamer,n.,小蜘蛛网,11月28日,461-480.txt
crestfallen,adj.,垂头丧气,11月28日,461-480.txt
winsome,adj.,迷人的,11月28日,461-480.txt
nebulous,adj.,朦胧的；星云的,11月28日,461-480.txt
earshot,n.,听力所及范围内,11月28日,481-500.txt
melodramatic,adj.,夸张的；戏剧似的,11月28日,481-500.txt
indigent,adj.,贫穷的,11月28日,481-500.txt
lugubrious,adj.,闷闷不乐的,11月28日,481-500.txt
demur,v.&n.,异议,11月28日,481-500.txt
redolent,adj.,芬芳的；气味芬芳的,11月28日,481-500.txt
laconic,adj.,简洁的,11月28日,481-500.txt
serpentine,adj.,蜿蜒的；像蛇一样,11月28日,481-500.txt
phlegmatic,adj.,冷淡的；,11月28日,481-500.txt
insular,adj.,隔绝的,11月28日,481-500.txt
illusory,adj.,错觉的,11月28日,481-500.txt
pedant,n.,书呆子,11月28日,481-500.txt
stingy,adj.,吝啬的,11月28日,481-500.txt
tepid,adj.,微温的；不热烈的,11月28日,481-500.txt
prate,v.,唠叨,11月28日,481-500.txt
hackneyed,adj.,陈腐的,11月29日,481-500.txt
forthright,adj.,直接的；坦率的,11月29日,481-500.txt
fetid,adj.,有恶臭的,11月29日,481-500.txt
domicile,n.,住宅,11月29日,481-500.txt
demagogue,n.,煽动者,11月29日,481-500.txt
errant,adj.,错误的,11月29日,501-520.txt
munificient,adj.,慷慨的,11月29日,501-520.txt
entrap,v.,诱骗,11月29日,501-520.txt
maudlin,adj.,感情脆弱的,11月29日,501-520.txt
regimen,n.,养生法,11月29日,501-520.txt
annul,v.,宣告无效；取消,11月29日,501-520.txt
incendiary,n.,防火者；煽动者；,11月29日,501-520.txt
hie,v.,催促,11月29日,501-520.txt
truculent,adj.,好斗的；野蛮的,11月29日,501-520.txt
harrow,n.,耙地,11月29日,501-520.txt
sinew,n.,肌腱,11月29日,501-520.txt
scrawl,n.,潦草的笔记,11月29日,501-520.txt
cordon,n.,警戒线,11月29日,501-520.txt
carp,n.,鲤鱼,11月29日,501-520.txt
interdict,n.,禁止,11月29日,501-520.txt
aver,v.,断言,11月29日,501-520.txt
pathological,adj.,病态的,11月29日,501-520.txt
wrangle,n.,争论,11月29日,501-520.txt
squander,n.,浪费；挥霍,11月29日,501-520.txt
venial,adj.,可原谅的；轻微的,11月29日,501-520.txt
aspirant,n.&adj.,有抱负的人；上进的,11月30日,521-540.txt
swindle,n.&v.,诈骗,11月30日,521-540.txt
palatial,adj.,宏伟的,11月30日,521-540.txt
autocracy,n.,独裁政治,11月30日,521-540.txt
umbrage,n,不快,11月30日,521-540.txt
strident,adj.,刺耳的,11月30日,521-540.txt
cavil,v.,挑剔,11月30日,521-540.txt
pout,n.,撅嘴；板脸,11月30日,521-540.txt
hypnotic,n.&adj.,安眠药；催眠的,11月30日,521-540.txt
verbatim,adj.,逐字的,11月30日,521-540.txt
obloquy,n.,谩骂,11月30日,521-540.txt
onerous,adj.,繁重的,11月30日,521-540.txt
gripe,n.&v.,发牢骚；抱怨,11月30日,521-540.txt
deride,v.,嘲弄,11月30日,521-540.txt
nefarious,adj.,违法的；邪恶的,11月30日,521-540.txt
boor,n.,举止粗野的人,11月30日,521-540.txt
luminary,n.,杰出人物；发光体,11月30日,521-540.txt
